page_title,gt_lat,gt_lon,gt_type,cl_to
Manchester,53.4833,-2.25,city,Bon_article
Ferrari_(entreprise),44.5312,10.8729,,Bon_article
Massif_du_Luberon,43.7961,5.22389,mountain,Bon_article
Ebla,35.7981,36.7986,landmark,Bon_article
Ljubljana,46.0514,14.506,city,Bon_article
Seattle,47.6,-122.317,city,Bon_article
Taumata­whakatangihanga­koauau­o­tamatea­turi­pukaka­piki­maungah­oronuku­pokai­whenuaki­tanatahu,-40.3462,176.541,mountain,Bon_article
La_Roche-aux-Fées,47.9364,-1.40472,,Bon_article
Saintes,45.7464,-0.6333,city,Bon_article
Sougères-en-Puisaye,47.5537,3.2324,,Bon_article
Grímsvötn,64.4081,-17.2727,mountain,Bon_article
Uluru,-25.3451,131.036,mountain,Bon_article
Abbaye_Saint-Wandrille_de_Fontenelle,49.5296,0.766551,landmark,Bon_article
La_Roche-Guyon,49.0833,1.6333,city,Bon_article
Elbrouz,43.355,42.4392,mountain,Bon_article
Pontoise,49.0516,2.1017,city,Bon_article
Pôle_Nord,90.0,0.0,,Bon_article
Parmain,49.1138,2.20911,city,Bon_article
Festival_interceltique_de_Lorient,47.7456,-3.36128,event,Bon_article
Jeux_olympiques_d'hiver_de_1928,46.4951,9.83614,city,Bon_article
Jeux_olympiques_d'hiver_de_1932,44.2856,-73.9853,city,Bon_article
Jeux_olympiques_d'hiver_de_1948,46.4978,9.83832,city,Bon_article
Jeux_olympiques_d'hiver_de_1956,46.5333,12.1333,city,Bon_article
Jeux_olympiques_d'hiver_de_1960,39.1963,-120.234,city,Bon_article
Metropolitan_Museum_of_Art,40.7794,-73.9631,landmark,Bon_article
Jeux_olympiques_d'hiver_de_1964,47.248,11.399,city,Bon_article
Everest,27.9883,86.9253,mountain,Bon_article
Durance,44.8936,6.71833,landmark,Bon_article
Parc_national_de_Crater_Lake,42.9333,-122.117,landmark,Bon_article
Vignoble_de_Bourgogne,47.167,4.95,landmark,Bon_article
Phare_d'Eckmühl,47.7983,-4.37278,landmark,Bon_article
Cathédrale_Notre-Dame_du_Havre,49.4869,0.1083,landmark,Bon_article
Université_du_Littoral_Côte_d'Opale,50.9533,1.8795,edu,Bon_article
Košice,48.7211,21.2575,city,Bon_article
Jeux_olympiques_d'hiver_de_2010,49.2611,-123.114,city,Bon_article
École_nationale_de_l'aviation_civile,43.5653,1.48111,edu,Bon_article
Jeux_olympiques_d'été_de_1896,37.9753,23.7362,city,Bon_article
Abbaye_Notre-Dame_du_Bec,49.2325,0.721667,landmark,Bon_article
Abbaye_de_Mozac,45.8904,3.0942,landmark,Bon_article
Minneapolis,44.9803,-93.2642,city,Bon_article
Gare_de_Limoges-Bénédictins,45.8362,1.2674,railwaystation,Bon_article
Complexe_funéraire_de_Khéops,29.979,31.134,landmark,Bon_article
Pyramide_rhomboïdale,29.79,31.2089,landmark,Bon_article
Faverges,45.7464,6.2953,city,Bon_article
Stade_Vélodrome,43.2698,5.39592,,Bon_article
Université_de_Bretagne_occidentale,48.3988,-4.499,edu,Bon_article
Chrysler_Building,40.7517,-73.9753,,Bon_article
Île_Europa,-22.37,40.37,isle,Bon_article
Football_Club_de_Lyon,45.7201,4.88055,,Bon_article
Auvers-sur-Oise,49.0667,2.1667,city,Bon_article
Chute_de_Constantinople,41.0167,28.9769,landmark,Bon_article
Vitré_(Ille-et-Vilaine),48.12,-1.21,city,Bon_article
Borobudur,-7.60778,110.204,landmark,Bon_article
Université_de_Tokyo,35.7133,139.762,edu,Bon_article
Université_Waseda,35.7092,139.719,edu,Bon_article
Aconcagua,-32.6533,-70.0111,mountain,Bon_article
Bidart,43.4381,-1.59167,city,Bon_article
Club_Atlético_Boca_Juniors,-34.6356,-58.3647,landmark,Bon_article
Hattusa,40.0197,34.6153,landmark,Bon_article
Parc_national_de_Redwood,41.1667,-123.983,landmark,Bon_article
Parc_national_de_Capitol_Reef,38.15,-111.167,landmark,Bon_article
Parc_national_volcanique_de_Lassen,40.488,-121.505,landmark,Bon_article
Parc_national_de_Saguaro,32.25,-110.5,landmark,Bon_article
La_Matapédia,48.4921,-67.2318,city,Bon_article
Mont_Rainier,46.853,-121.76,mountain,Bon_article
Caraquet,47.7656,-64.9497,city,Bon_article
Bataille_de_la_mer_de_Corail,-16.2667,162.333,landmark,Bon_article
Parc_national_des_lacs_de_Plitvice,44.8778,15.6144,landmark,Bon_article
Le_Bourget_(Seine-Saint-Denis),48.9353,2.42556,city,Bon_article
Anfield,53.4308,-2.96083,,Bon_article
